[sound:ebird2anki-gryfan1-539154.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802131.jpg">
<img src="ebird2anki-greegr-70610251.jpg">;;Great Egret;Ardea alba;[sound:ebird2anki-greegr-549018.mp3]
[sound:ebird2anki-bkfcus1-539054.mp3];🎵;Black-faced Cuckooshrike;Coracina novaehollandiae;<img src="ebird2anki-bkfcus1-125783201.jpg">
<img src="ebird2anki-bkfcus1-125783201.jpg">;;Black-faced Cuckooshrike;Coracina novaehollandiae;[sound:ebird2anki-bkfcus1-539055.mp3]
<img src="ebird2anki-galah-122706111.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538601.mp3]
<img src="ebird2anki-hohgre1-122161261.jpg">;;Hoary-headed Grebe;Poliocephalus poliocephalus;[sound:ebird2anki-hohgre1-538376.mp3]
[sound:ebird2anki-galah-538601.mp3];🎵;Galah;Eolophus roseicapilla;<img src="ebird2anki-galah-122706061.jpg">
[sound:ebird2anki-grycur1-539045.mp3];🎵;Grey Currawong;Strepera versicolor;<img src="ebird2anki-grycur1-125706511.jpg">
<img src="ebird2anki-bkfcus1-125783231.jpg">;;Black-faced Cuckooshrike;Coracina novaehollandiae;[sound:ebird2anki-bkfcus1-539054.mp3]
<img src="ebird2anki-grybut1-125700961.jpg">;;Grey Butcherbird;Cracticus torquatus;[sound:ebird2anki-grybut1-539028.mp3]
[sound:ebird2anki-gryfan1-539147.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802171.jpg">
<img src="ebird2anki-easspi1-123615411.jpg">;;Eastern Spinebill;Acanthorhynchus tenuirostris;[sound:ebird2anki-easspi1-538045.mp3]
<img src="ebird2anki-bkfcus1-125783221.jpg">;;Black-faced Cuckooshrike;Coracina novaehollandiae;[sound:ebird2anki-bkfcus1-539052.mp3]
[sound:ebird2anki-bkfcus1-539053.mp3];🎵;Black-faced Cuckooshrike;Coracina novaehollandiae;<img src="ebird2anki-bkfcus1-125783231.jpg">
[sound:ebird2anki-dusmoo1-538470.mp3];🎵;Dusky Moorhen;Gallinula tenebrosa;<img src="ebird2anki-dusmoo1-122302341.jpg">
<img src="ebird2anki-laukoo1-121681241.jpg">;;Laughing Kookaburra;Dacelo novaeguineae;[sound:ebird2anki-laukoo1-537955.mp3]
<img src="ebird2anki-ausibi1-122678681.jpg">;;Australian White Ibis;Threskiornis molucca;[sound:ebird2anki-ausibi1-537929.mp3]
[sound:ebird2anki-dusmoo1-538469.mp3];🎵;Dusky Moorhen;Gallinula tenebrosa;<img src="ebird2anki-dusmoo1-122302331.jpg">
<img src="ebird2anki-ausgre1-116459191.jpg">;;Australasian Grebe;Tachybaptus novaehollandiae;[sound:ebird2anki-ausgre1-537788.mp3]
[sound:ebird2anki-grecor-43189141.mp3];🎵;Great Cormorant;Phalacrocorax carbo;<img src="ebird2anki-grecor-66026561.jpg">
<img src="ebird2anki-eurgol-256707351.jpg">;;European Goldfinch;Carduelis carduelis;[sound:ebird2anki-eurgol-527858.mp3]
<img src="ebird2anki-ausgre1-116459241.jpg">;;Australasian Grebe;Tachybaptus novaehollandiae;[sound:ebird2anki-ausgre1-537787.mp3]
[sound:ebird2anki-aurwar1-539279.mp3];🎵;Australian Reed Warbler;Acrocephalus australis;<img src="ebird2anki-aurwar1-125925791.jpg">
[sound:ebird2anki-houspa-550469.mp3];🎵;House Sparrow;Passer domesticus;<img src="ebird2anki-houspa-305878071.jpg">
[sound:ebird2anki-gryfan1-539149.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802131.jpg">
